[2024-05-01 01:36:16.710]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-01 01:36:16.719]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-01 01:36:16.754]	 Installing "tmux"
[2024-05-01 01:36:16.758]	 Already installed "tpm"
[2024-05-01 01:36:17.578]	   "tmux" download success
[2024-05-01 01:36:17.598]	 Done.

[2024-05-01 11:41:02.424]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-01 11:41:02.434]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-01 11:41:02.482]	 Already installed "tpm"
[2024-05-01 11:41:02.485]	 Already installed "tmux"
[2024-05-01 11:41:02.513]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-01 11:41:02.535]	 Updating all plugins!
[2024-05-01 11:41:02.536]	 
[2024-05-01 11:41:02.956]	   "tmux" update success
[2024-05-01 11:41:02.958]	     | Already up to date.
[2024-05-01 11:41:04.781]	   "tpm" update success
[2024-05-01 11:41:04.785]	     | Already up to date.
[2024-05-01 11:41:04.785]	     | Submodule 'lib/tmux-test' (https://github.com/tmux-plugins/tmux-test.git) registered for path 'lib/tmux-test'
[2024-05-01 11:41:04.785]	     | Cloning into '/home/user/.config/tmux/plugins/tpm/lib/tmux-test'...
[2024-05-01 11:41:04.785]	     | From https://github.com/tmux-plugins/tmux-test
[2024-05-01 11:41:04.785]	     |  * branch            33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6 -> FETCH_HEAD
[2024-05-01 11:41:04.785]	     | Submodule path 'lib/tmux-test': checked out '33fa65fbfb72ba6dd106c21bf5ee6cc353ecdbb6'
[2024-05-01 11:41:04.805]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-01 11:41:04.840]	 Done.

[2024-05-01 22:19:16.834]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-01 22:19:16.846]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-01 22:19:16.885]	 Already installed "tpm"
[2024-05-01 22:19:16.886]	 Already installed "tmux"
[2024-05-01 22:19:16.905]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-01 22:19:16.927]	 Updating all plugins!
[2024-05-01 22:19:16.927]	 
[2024-05-01 22:19:17.331]	   "tmux" update success
[2024-05-01 22:19:17.331]	   "tpm" update success
[2024-05-01 22:19:17.334]	     | Already up to date.
[2024-05-01 22:19:17.334]	     | Already up to date.
